rating_id,user_id,product_id,store_id,rating,review
0,740,111,460,0,Benefit phone anything sort page generation.
1,740,323,293,5,Site factor check certain.
2,157,111,460,3,Land company bad mention hotel task.
3,760,111,460,3,Decide positive watch always leg.
4,328,111,460,2,Difficult as behind blue establish item already back.
5,328,323,293,1,Heart bar your both social.
6,213,111,460,5,Important fill it during the.
7,801,111,460,3,Include still method something test either.
8,801,323,293,1,Piece hold build hit member.
9,801,582,170,1,Onto example tax hard describe effort.
10,765,111,460,1,Sister almost item movement push contain firm argue.
11,765,323,293,1,Theory opportunity tough within candidate officer.
12,261,111,460,3,Fund car design never.
13,143,111,460,4,Avoid time arrive oil say big radio.
14,896,111,460,1,The officer draw sing fight agree.
15,896,323,293,5,Exist single plan consumer election.
16,25,111,460,0,Support describe place professional particular.
17,25,323,293,4,Change color follow system respond game keep.
18,421,111,460,4,That through set trade.
19,421,323,293,5,Recognize threat purpose everything wife similar.
20,421,582,170,5,Give the truth consider industry free.
21,824,111,460,5,Performance sister break play well follow.
22,824,323,293,3,Condition example leader whose positive radio sort.
23,824,582,170,5,City fish notice true car admit.
24,179,111,460,2,Administration help painting actually.
25,973,111,460,2,A if describe she impact scene accept.
26,841,111,460,1,Our hand order rather.
27,841,323,293,0,Man college shake appear rather positive.
28,841,582,170,0,Billion style conference.
29,989,111,460,2,Control series main seat.
30,989,323,293,1,Learn down nation.
31,989,582,170,1,Sea couple move threat catch government and.
32,71,111,460,3,Major strategy skill guy game personal make.
33,71,323,293,0,Look friend news race if old.
34,71,582,170,4,Matter among green American.
35,655,111,460,4,Serious TV old alone teacher day.
36,827,111,460,2,Home its process describe.
37,827,323,293,4,Doctor thing country develop tough travel speech.
38,981,111,460,0,Find their company thing team.
39,981,323,293,0,Term although leave.
40,981,582,170,5,Scene develop such business beautiful hospital single.
41,982,111,460,5,Consider environmental security impact big ago spring.
42,581,111,460,4,Word information south forward yeah century fire.
43,581,323,293,0,Shake meeting heavy require executive record market.
44,581,582,170,2,Eight which want away she crime word.
45,729,111,460,2,May common especially on money.
46,729,323,293,1,Officer nice may coach.
47,729,582,170,1,Detail share other full represent stay will.
48,162,111,460,3,Knowledge food couple food become.
49,162,323,293,2,Interest century responsibility city easy.
50,162,582,170,3,Staff first attorney crime.
51,922,111,460,3,Eight increase way onto.
52,993,111,460,4,Final interesting take specific adult all.
53,452,111,460,0,Would card everyone major.
54,452,323,293,4,Second decade eye country Congress bag hair.
55,452,582,170,1,Eye minute traditional rate court per.
56,210,111,460,5,Always another still option these find address parent.
57,210,323,293,5,Hundred true all across manager individual power.
58,210,582,170,4,Field computer mind street.
59,692,111,460,5,Treatment she among around final onto organization.
60,692,323,293,2,Charge everyone change true factor describe.
61,692,582,170,1,Maintain evidence really so trouble respond.
62,813,111,460,5,Positive final travel last together board Republican.
63,813,323,293,4,Study eat respond value wait investment.
64,813,582,170,1,Crime indicate recognize product executive ability.
65,695,111,460,4,Wait cost unit wind moment.
66,874,111,460,3,New raise argue letter perhaps increase certain.
67,874,323,293,2,Choose southern miss professional.
68,366,111,460,3,Animal east high entire.
69,366,323,293,2,Class we receive since.
70,16,111,460,2,Loss western let at course.
71,16,323,293,4,Brother head power.
72,16,582,170,2,Training themselves decade until article do.
73,690,111,460,2,No agent war couple like place.
74,828,111,460,4,Team thousand hear laugh listen.
